run_id;layer_id;layer_name;model;nr_images;normalize;train_score;val_score
resnet_none_8100_25082019-200322;94;bn4b_branch2a;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;165;res5c_branch2a;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;107;bn4c_branch2b;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;56;activation_14;resnet;8100;none;1.0;0.6296296296296297
resnet_none_8100_25082019-200322;131;add_11;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;19;res2b_branch2a;resnet;8100;none;1.0;0.5555555555555556
resnet_none_8100_25082019-200322;167;activation_46;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;135;activation_37;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;105;activation_28;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;84;res4a_branch2b;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;40;bn3a_branch2a;resnet;8100;none;1.0;0.7407407407407407
resnet_none_8100_25082019-200322;55;bn3b_branch2b;resnet;8100;none;1.0;0.6666666666666666
resnet_none_8100_25082019-200322;47;bn3a_branch2c;resnet;8100;none;1.0;0.654320987654321
resnet_none_8100_25082019-200322;154;activation_42;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;68;bn3c_branch2c;resnet;8100;none;1.0;0.9629629629629628
resnet_none_8100_25082019-200322;5;pool1_pad;resnet;8100;none;1.0;0.2716049382716049
resnet_none_8100_25082019-200322;79;add_6;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;53;activation_13;resnet;8100;none;1.0;0.7283950617283951
resnet_none_8100_25082019-200322;106;res4c_branch2b;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;113;res4d_branch2a;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;140;bn4f_branch2c;resnet;8100;none;1.0;0.9382716049382716
resnet_none_8100_25082019-200322;101;add_8;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;70;activation_18;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;121;add_10;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;52;bn3b_branch2a;resnet;8100;none;1.0;0.7407407407407407
resnet_none_8100_25082019-200322;158;res5b_branch2b;resnet;8100;none;1.0;0.8518518518518519
resnet_none_8100_25082019-200322;96;res4b_branch2b;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;91;add_7;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;22;res2b_branch2b;resnet;8100;none;1.0;0.5802469135802469
resnet_none_8100_25082019-200322;62;bn3c_branch2a;resnet;8100;none;1.0;0.9506172839506172
resnet_none_8100_25082019-200322;161;res5b_branch2c;resnet;8100;none;1.0;0.6790123456790124
resnet_none_8100_25082019-200322;139;res4f_branch2c;resnet;8100;none;1.0;0.9012345679012346
resnet_none_8100_25082019-200322;145;activation_40;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;172;bn5c_branch2c;resnet;8100;none;1.0;0.6666666666666666
resnet_none_8100_25082019-200322;133;res4f_branch2a;resnet;8100;none;1.0;1.0
